Frequency,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000
Usage (MHz),64,70.9,49.7,,,,,40,,,74.9,94.9,79.8,,59.4,,40,,100,90,,,,,,,,90,100,100,100,,75,9,,,,,,,,,,
Total Licences,3,4,4,,,,,2,,,0,6,3,,4,,1,,2,3,,,,,,,,3,3,2,2,,1,0,,,,,,,,,,
Complete Licences,3,2,1,,,,,2,,,0,1,3,,0,,1,,1,0,,,,,,,,3,3,1,2,,0,0,,,,,,,,,,
Link Separated Licences,0,2,3,,,,,0,,,0,5,0,,4,,0,,1,3,,,,,,,,0,0,1,0,,1,0,,,,,,,,,,
Uplinks,3,7,2,,,,,0,,,5,0,4,,0,,0,,3,0,,,,,,,,0,0,0,0,,0,0,,,,,,,,,,
Uplink Usage (MHz),30,49.9,14.9,,,,,0,,,74.9,0,59.7,,0,,0,,70,0,,,,,,,,0,0,0,0,,0,0,,,,,,,,,,
Downlinks,5,2,4,,,,,2,,,0,5,0,,4,,0,,0,3,,,,,,,,0,0,0,0,,0,0,,,,,,,,,,
Downlink Usage (MHz),34,21,34.8,,,,,40,,,0,74.9,0,,59.4,,0,,0,70,,,,,,,,0,0,0,0,,0,,,,,,,,,,,
Links,0,0,0,,,,,0,,,0,1,3,,0,,1,,2,1,,,,,,,,3,3,2,2,,1,1,,,,,,,,,,
Link Usage (MHz),0,0,0,,,,,0,,,0,20,20.1,,0,,40,,30,20,,,,,,,,90,100,100,100,,75,9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
