LICENCE_NO,CLIENT_NO,LICENCE_TYPE_NAME,LICENCE_CATEGORY_NAME
10143110,1136980.0,Spectrum,2 GHz Band
10143136,1103274.0,Spectrum,2 GHz Band
10143466,1104504.0,Spectrum,2 GHz Band
10143562,1103276.0,Spectrum,2 GHz Band
10231258,1103276.0,Spectrum,1800 MHz Band
10232073,20009217.0,Spectrum,1800 MHz Band
10235466,1136980.0,Spectrum,1800 MHz Band
10388332,1103275.0,Spectrum,2.3 GHz Band
10388334,1103275.0,Spectrum,3.4 GHz Band
10388433,1103275.0,Spectrum,2 GHz Band
10391280,1136980.0,Spectrum,700 MHz Band
10391286,20009217.0,Spectrum,700 MHz Band
10424434,1136980.0,Spectrum,1800 MHz Band
10424436,1136980.0,Spectrum,2 GHz Band
10424514,8129031.0,Spectrum,2.3 GHz Band
10424532,1149289.0,Spectrum,2.3 GHz Band
10427561,20009217.0,Spectrum,1800 MHz Band
10435053,1103275.0,Spectrum,1800 MHz Band
10498938,1103275.0,Spectrum,3.4 GHz Band
10914942,1103275.0,Spectrum,3.4 GHz Band
10917462,1103276.0,Spectrum,3.4 GHz Band
10917463,20037700.0,Spectrum,3.4 GHz Band
10917464,20037707.0,Spectrum,3.4 GHz Band
11286123,1135845.0,Spectrum,3.4 GHz Band
11286124,1149289.0,Spectrum,3.4 GHz Band
11286125,1149289.0,Spectrum,3.4 GHz Band
11286126,8129031.0,Spectrum,3.4 GHz Band
11286128,8129031.0,Spectrum,3.4 GHz Band
11286129,8129031.0,Spectrum,3.4 GHz Band
11286131,8129031.0,Spectrum,3.4 GHz Band
11345733,20048575.0,Spectrum,2.5 GHz Band
11345734,20048575.0,Spectrum,2.5 GHz Band
9263429,1136980.0,Spectrum,800 MHz Band
9263433,1103275.0,Spectrum,800 MHz Band
9263448,1103276.0,Spectrum,1800 MHz Band
9263452,1133304.0,Spectrum,1800 MHz Band
9263460,1149151.0,Spectrum,1800 MHz Band
9263461,207858.0,Spectrum,1800 MHz Band
9367136,1133304.0,Spectrum,1800 MHz Band
9367781,207858.0,Spectrum,1800 MHz Band
9367783,1149151.0,Spectrum,1800 MHz Band
9369568,8129031.0,Spectrum,2.3 GHz Band
9445340,336877.0,Spectrum,2.5 GHz Mid Band Gap
9445341,769.0,Spectrum,2.5 GHz Mid Band Gap
9445342,1201931.0,Spectrum,2.5 GHz Mid Band Gap
9445343,1217349.0,Spectrum,2.5 GHz Mid Band Gap
9448618,1134840.0,Spectrum,2.3 GHz Band
9448619,8129031.0,Spectrum,2.3 GHz Band
9448620,1134840.0,Spectrum,2.3 GHz Band
9448621,1134840.0,Spectrum,2.3 GHz Band
9460456,1144480.0,Spectrum,1800 MHz Band
9460463,20013687.0,Spectrum,1800 MHz Band
9460464,20013687.0,Spectrum,1800 MHz Band
9460484,1141005.0,Spectrum,1800 MHz Band
9460485,1141005.0,Spectrum,1800 MHz Band
9460720,1137724.0,Spectrum,2.3 GHz Band
9460721,1137724.0,Spectrum,2.3 GHz Band
9460722,1137724.0,Spectrum,2.3 GHz Band
9469858,1149289.0,Spectrum,700 MHz Band
9469862,1103275.0,Spectrum,700 MHz Band
9469864,1149289.0,Spectrum,2.5 GHz Band
9469870,1149289.0,Spectrum,2.5 GHz Band
9469871,1103275.0,Spectrum,2.5 GHz Band
9469878,1103275.0,Spectrum,2.5 GHz Band
9599659,1103275.0,Spectrum,2.3 GHz Band
9619844,1136980.0,Spectrum,1800 MHz Band
